month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-09,1,2,3486,13,312,1743.0,6.5,156.0
2010-10,1,1,14,4,563,14.0,4.0,563.0
2010-12,1,1,7,6,269,7.0,6.0,269.0
2011-10,1,2,22,4,489,11.0,2.0,244.5
2011-11,1,1,33,13,601,33.0,13.0,601.0
2012-04,1,1,25,25,643,25.0,25.0,643.0
2012-06,1,1,12,12,555,12.0,12.0,555.0
2012-09,1,2,24,9,1055,12.0,4.5,527.5
2012-10,1,4,20,10,1555,5.0,2.5,388.8
2013-02,1,1,314,5,469,314.0,5.0,469.0
2013-03,1,1,3,4,376,3.0,4.0,376.0
2013-04,1,3,196,70,2814,65.3,23.3,938.0
2013-08,1,3,10,8,1834,3.3,2.7,611.3
2014-04,1,2,377,31,1103,188.5,15.5,551.5
2014-05,1,1,13,12,576,13.0,12.0,576.0
2014-08,1,1,14,6,302,14.0,6.0,302.0
2015-01,1,2,3,3,1011,1.5,1.5,505.5
2015-02,1,1,16,17,609,16.0,17.0,609.0
2015-04,1,1,2,0,362,2.0,0.0,362.0
2015-08,1,1,7,0,632,7.0,0.0,632.0
2015-09,1,3,6,2,351,2.0,0.7,117.0
2015-10,1,1,48,0,461,48.0,0.0,461.0
2016-02,1,1,86,0,83,86.0,0.0,83.0
2016-06,1,1,537,73,264,537.0,73.0,264.0
2016-08,1,1,0,10,673,0.0,10.0,673.0
2017-01,1,1,3,2,232,3.0,2.0,232.0
2017-02,1,1,9,18,435,9.0,18.0,435.0
2017-03,1,2,13,2,582,6.5,1.0,291.0
2017-05,1,1,3,2,452,3.0,2.0,452.0
2017-06,1,1,49,56,362,49.0,56.0,362.0
2017-10,1,1,113,45,833,113.0,45.0,833.0
2018-01,1,2,1,21,706,0.5,10.5,353.0
2018-09,1,1,2,2,234,2.0,2.0,234.0
2018-12,1,1,2,2,486,2.0,2.0,486.0
2019-01,1,1,4,3,336,4.0,3.0,336.0
2019-11,1,1,72,24,505,72.0,24.0,505.0
2019-12,1,1,72,1,295,72.0,1.0,295.0
2020-01,1,1,24,19,629,24.0,19.0,629.0
2020-03,1,1,3,0,513,3.0,0.0,513.0
2020-04,1,1,59,4,544,59.0,4.0,544.0
